GOOGLE_REVIEWS ID,Business Rating,Business Reviews,Source URL,Business Name,Author Name,Local Guide,Review Text,Review Rating,Review Date,Author URL,Topic Keywords,Topics
1,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",Karimah  Kelly,Local Guide,"a big store and sometimes hard to find what i came for. the good thing is, staff were easy to find which helped me locate it and check out with ease. canadian tire carries a lot of quality items like camp gear, kitchenware, gardening, home …",4 stars,2 months ago,https://www.google.com/maps/contrib/111631545485687925605/reviews?hl=en-CA,"[store, hard, find, good, staff, find, check, canadian, tire, items]","[2, 4, 1]"
2,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",Marcus  Connors,"","if ct is going to lock up low value consumables, at least have enough staff to unlock a case when customers are attempting to purchase. waited 10 min for an associate to answer page before walking out. home depot was happy for the business!!",1 star,2 weeks ago,https://www.google.com/maps/contrib/100463776955151682238/reviews?hl=en-CA,"[staff, customers]",[2]
3,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",John,Local Guide,"always a great place for tools and supplies. clean, organized and helpful staff. sometimes it's hard to find staff to ask for assistance (especially to have locked cabinets opened).",4 stars,3 weeks ago,https://www.google.com/maps/contrib/104314647582482209619/reviews?hl=en-CA,"[great, place, clean, helpful, staff, hard, find, staff]","[2, 3, 4]"
4,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",Eileen  Armstrong,"",shame on you! all i needed was a battery put in. i'm a 60 year old woman who was far from home with an unexpected dead battery. a good samaritan gave me a boost so i could get to the service centre before they closed to get a new one. by …,1 star,3 months ago,https://www.google.com/maps/contrib/114490848772530141355/reviews?hl=en-CA,"[needed, good, service]","[4, 3]"
5,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",Raymond  Hogart,"","guys at counter where you get batteries were excellent. the automotive aisle , organization and product choices are poor . other canadian tire stores have much more to offer",3 stars,2 weeks ago,https://www.google.com/maps/contrib/113957953534784461637/reviews?hl=en-CA,"[automotive, product, poor, canadian, tire, stores]","[4, 1]"
6,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",Colin  Cousins,Local Guide,"my daughter and i went to the store, not necessarily looking for anything in particular, but we saw many good deals. i bought one item i needed, using the self serve counter. an efficient way to check out!",4 stars,2 months ago,https://www.google.com/maps/contrib/108159667744794383130/reviews?hl=en-CA,"[store, good, bought, item, needed, check]","[4, 1]"
7,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",Jenn  Dick,Local Guide,the staff at the auto service counter were very helpful getting me a quote for tires. the electronic kiosk was useful to find which aisle to find the items i needed. they have a wide selection of products at reasonable prices. their sales …,4 stars,6 months ago,https://www.google.com/maps/contrib/110307906516077229536/reviews?hl=en-CA,"[staff, auto, service, helpful, tires, find, find, items, needed, selection, products, prices, sales]","[2, 3, 4, 1]"
8,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",Pamela  Massey,Local Guide,traveling to london from niagara hit a piece of metal and went right to canadian tire to have tire fixed. the service was immediate and outstanding. they were able to fix tire at a fraction of cost of what our local mechanic charges. thank you guys at brantford canadian tire !!!,5 stars,3 months ago,https://www.google.com/maps/contrib/114175837954277582988/reviews?hl=en-CA,"[canadian, tire, tire, service, tire, brantford, canadian, tire]","[4, 3]"
9,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",Kayleen  Howey,Local Guide,shelves are often bare in areas and disorganized. you could stand in the same spot or walk up and down in a main isle or at a service desk (sports desk) for 20 minutes and never see an employee around. they have good sales though... if it isn't already sold out or in stock.,3 stars,3 weeks ago,https://www.google.com/maps/contrib/115695918831796995502/reviews?hl=en-CA,"[service, desk, minutes, good, sales, stock]","[3, 4, 1]"
10,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",Rick  Hewitson,"","excellent. love canadian tire. it's my go to store. great staff, very helpful.",5 stars,2 weeks ago,https://www.google.com/maps/contrib/102607575519237457413/reviews?hl=en-CA,"[canadian, tire, store, great, staff, helpful]","[4, 1, 2, 3]"
